,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
84,-4.0928,-3.84932,0.624562,-249.866,12.8501,-86.2642,-70.3599,42.6105,53.9202,-9.92476,2354.07,173.801,76.2439,6944.59,2400.86,-66.6973,46.2759
85,-4.08849,-3.46559,0.624189,-254.788,3.73438,-92.4415,-73.3166,40.4315,54.6403,-9.77619,2354.14,173.136,75.9372,6915.69,2400.87,-66.6582,46.276
86,-4.09368,-3.84932,0.624624,-248.983,12.9644,-86.0665,-69.0438,41.9706,54.882,-9.77879,2354.02,170.396,76.4483,7047.28,2400.86,-66.8661,46.2759
87,-4.08764,-3.34697,0.62413,-256.336,2.69777,-93.9615,-74.7256,39.7762,53.1343,-9.50696,2354.19,176.344,76.0078,6856.72,2400.87,-66.5455,46.276
88,-4.09451,-3.84932,0.624682,-249.378,12.7437,-85.6948,-70.4429,42.6499,54.1148,-10.1184,2354.07,173.05,75.8376,6894.87,2400.86,-66.5896,46.2758
89,-4.08681,-3.25741,0.624073,-257.56,4.17149,-94.344,-75.0961,40.2774,53.352,-10.8469,2354.05,170.005,77.4979,7195.1,2400.86,-67.1036,46.2761
90,-4.09529,-3.83333,0.624737,-249.245,13.2614,-85.8033,-69.8287,42.8407,54.4525,-10.288,2353.99,169.031,76.3127,7038.42,2400.86,-66.7917,46.2759
91,-4.08605,-3.19416,0.624019,-257.956,0.740273,-95.3542,-76.6938,38.576,53.1208,-11.4682,2354.11,171.555,76.4745,7009.54,2400.87,-66.6505,46.2761
92,-4.09604,-3.6474,0.624788,-250.46,14.3752,-86.8252,-69.7987,42.5962,54.1484,-10.5869,2353.94,168.335,78.1082,7384.58,2400.86,-67.1325,46.2759
93,-4.08535,-3.15904,0.623972,-257.745,1.90715,-93.8479,-77.2593,40.6227,52.9061,-11.0555,2354.2,176.853,75.5466,6762.95,2400.87,-66.846,46.276
94,-4.0967,-3.49134,0.624834,-248.362,12.5205,-84.5079,-70.2645,42.7859,55.1599,-10.7666,2354.11,174.225,75.1004,6759.43,2400.86,-66.5243,46.2758
95,-4.0847,-3.14771,0.623928,-259.057,1.25368,-96.0856,-77.5632,39.2737,51.7775,-11.603,2354.04,168.841,77.1408,7152.8,2400.86,-67.3987,46.2761
96,-4.0973,-3.3649,0.624873,-249.216,12.6942,-85.8995,-70.3015,42.6411,53.8613,-10.3551,2354.05,171.38,75.6532,6884.1,2400.86,-66.7182,46.2758
97,-4.08416,-3.13557,0.623891,-258.286,2.89103,-96.6572,-74.5589,38.9041,52.206,-9.11036,2354.0,167.698,78.3471,7391.51,2400.86,-67.3426,46.2761
98,-4.09783,-3.26633,0.624908,-248.952,12.9865,-85.5286,-70.0194,43.1932,53.5585,-8.87917,2354.14,176.77,75.6272,6794.15,2400.86,-66.4956,46.2758
100,-4.09826,-3.19603,0.624937,-249.112,12.7694,-85.964,-69.7962,42.1123,54.3567,-10.2854,2354.05,171.99,76.2131,6984.03,2400.86,-66.6053,46.2758
101,-4.08328,-3.19119,0.623835,-257.098,2.02062,-95.2539,-75.1002,38.4398,52.9301,-10.5762,2354.09,171.451,76.9692,7109.29,2400.87,-66.8888,46.2761
102,-4.09861,-3.15215,0.624957,-249.057,12.9727,-86.2175,-68.9224,41.6553,55.3044,-10.2742,2354.0,168.866,76.6224,7107.07,2400.86,-66.6588,46.2759
103,-4.08299,-3.25884,0.623817,-254.5,2.46145,-94.4143,-72.0366,37.9384,53.6694,-8.81034,2354.08,169.346,76.4908,7073.48,2400.87,-66.6691,46.276
104,-4.09886,-3.13573,0.624972,-248.057,10.957,-85.7627,-69.2939,40.533,55.4543,-10.422,2354.15,175.461,74.8757,6713.74,2400.87,-66.195,46.2758
105,-4.08279,-3.35552,0.623806,-255.81,3.88153,-94.556,-73.0828,39.7311,52.8374,-8.87823,2354.04,168.958,77.3816,7207.59,2400.87,-66.9071,46.2761
106,-4.09901,-3.14559,0.624979,-250.406,13.5588,-85.2724,-71.4927,44.2041,54.3962,-10.8507,2354.04,172.233,76.4053,6995.81,2400.86,-66.8652,46.2759
107,-4.08269,-3.47932,0.623803,-255.115,4.00989,-92.1237,-74.2251,40.5465,54.285,-10.2667,2354.19,175.883,75.4019,6766.62,2400.87,-66.4972,46.276
108,-4.09905,-3.15737,0.624979,-249.789,11.94,-86.8097,-70.376,42.7891,53.1714,-9.49401,2354.02,170.303,76.2683,7003.29,2400.86,-66.6817,46.2759
109,-4.08269,-3.63299,0.623806,-254.554,4.74858,-92.9029,-72.3944,39.6952,53.9253,-9.23713,2354.06,169.673,76.6758,7079.81,2400.87,-66.7258,46.276
110,-4.09901,-3.19011,0.624971,-249.099,11.5166,-86.7515,-69.4063,42.3595,54.4096,-9.64903,2354.09,173.09,75.9526,6924.54,2400.87,-66.4527,46.2758
111,-4.0828,-3.81589,0.623817,-253.779,5.7509,-90.7899,-72.6401,40.5038,55.2812,-10.2879,2354.15,174.334,76.0626,6920.07,2400.87,-66.4656,46.276
112,-4.09886,-3.25083,0.624957,-249.591,10.996,-86.814,-70.1331,42.3749,53.8453,-8.65088,2354.17,177.259,75.3821,6746.12,2400.87,-66.3526,46.2758
113,-4.083,-3.84932,0.623835,-254.589,7.54515,-91.4419,-72.2954,41.0718,54.5646,-9.71847,2354.02,169.332,77.6537,7255.22,2400.86,-66.9592,46.2761
114,-4.09861,-3.33797,0.624935,-251.388,12.7562,-86.5166,-71.4338,43.5694,54.2395,-9.79328,2353.96,168.067,77.1976,7179.26,2400.86,-67.1645,46.276
115,-4.08331,-3.84891,0.623859,-253.258,6.78597,-89.9822,-72.5828,40.7633,55.4558,-11.1438,2354.02,167.668,76.3704,7065.99,2400.86,-66.9036,46.276
