,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
2046,-2.23845,-0.457126,0.773876,-227.811,65.3215,-40.5525,-100.847,-36.6286,31.6791,46.8586,1545.54,150.057,91.542,10003.8,1587.98,-70.7577,47.454
2047,-2.22658,-0.512051,0.777208,-227.684,62.6704,-43.0745,-100.29,-38.081,30.4003,48.2704,1545.62,152.586,90.8984,9821.92,1587.98,-70.3728,47.4541
2048,-2.18926,-0.55474,0.77652,-231.994,56.1648,-48.4087,-106.694,-39.145,25.324,47.1962,1545.69,154.536,89.976,9528.44,1587.98,-70.5477,47.4543
2049,-2.19695,-0.66617,0.773108,-231.465,61.01,-45.9669,-104.405,-37.8536,27.6477,47.3681,1545.61,152.462,91.8797,9979.04,1587.98,-70.7026,47.4542
2050,-2.2352,-0.295486,0.773423,-229.7,66.2619,-43.2867,-100.028,-38.2752,30.3436,48.4907,1545.48,147.795,94.3164,10637.0,1587.98,-71.0033,47.4541
2051,-2.23166,-0.66616,0.776868,-230.701,65.2378,-43.2793,-102.205,-37.5271,30.0249,47.2993,1545.52,150.135,93.5065,10386.4,1587.98,-71.1965,47.4541
2052,-2.19305,-0.532599,0.776932,-232.378,57.9199,-48.3066,-105.063,-40.7888,28.1876,46.074,1545.61,150.965,92.3115,10144.1,1587.98,-70.6888,47.4543
2053,-2.19234,-0.666157,0.773494,-230.721,59.8223,-46.3912,-103.641,-38.6457,28.5711,46.8834,1545.65,153.554,91.2477,9838.64,1587.98,-70.6475,47.4542
2054,-2.23085,-0.18819,0.773053,-227.401,64.8979,-42.9524,-98.8272,-37.3011,29.7553,49.2531,1545.49,146.053,92.7786,10357.8,1587.98,-70.8119,47.4541
2055,-2.23581,-0.666193,0.776445,-227.685,64.457,-42.026,-100.472,-36.2786,29.4913,49.139,1545.54,149.001,91.7234,10038.9,1587.98,-70.6555,47.4541
2056,-2.19779,-0.415858,0.777254,-229.836,57.3355,-45.9144,-104.149,-39.994,29.0218,47.1271,1545.68,153.288,89.6779,9534.9,1587.98,-70.141,47.4542
2057,-2.18874,-0.659912,0.773955,-230.113,56.332,-47.1431,-104.367,-41.173,28.9032,45.6769,1545.67,151.984,89.7686,9594.85,1587.98,-70.2451,47.4542
2058,-2.22568,-0.185458,0.772779,-228.0,62.9207,-41.5094,-101.916,-37.9563,31.2854,46.0553,1545.62,153.503,90.4444,9717.49,1587.98,-70.3232,47.454
2059,-2.23889,-0.665978,0.775954,-228.467,64.0276,-41.6663,-101.278,-38.1682,30.6578,47.3559,1545.54,149.414,91.616,10037.4,1587.98,-70.7635,47.4541
2060,-2.20328,-0.241981,0.777473,-231.677,60.5727,-47.7277,-102.874,-40.2475,28.8986,46.4925,1545.53,147.166,93.805,10561.5,1587.98,-71.068,47.4543
2061,-2.1863,-0.665978,0.774471,-231.504,57.187,-48.9871,-104.284,-40.5681,27.1831,46.5955,1545.65,152.412,91.3498,9913.45,1587.98,-70.3877,47.4543
2062,-2.2199,-0.288197,0.772616,-227.372,62.3582,-41.1742,-101.23,-37.8708,30.7132,48.8157,1545.68,155.751,89.36,9435.74,1587.98,-70.2318,47.454
2063,-2.24073,-0.666011,0.775422,-226.528,63.6939,-39.6591,-101.645,-35.6697,30.6683,47.5839,1545.71,158.198,88.3528,9159.42,1587.98,-70.1154,47.4539
2064,-2.20923,-0.174996,0.777577,-230.301,60.9832,-43.5986,-104.686,-37.291,30.3094,45.4246,1545.65,153.93,90.5022,9690.27,1587.98,-70.4262,47.4542
2065,-2.18513,-0.658551,0.775015,-235.233,58.5134,-48.6175,-108.599,-39.2315,26.994,44.3087,1545.63,152.873,92.5752,10105.5,1587.98,-70.7538,47.4544
2066,-2.2138,-0.497824,0.772572,-230.545,64.1686,-44.8526,-101.439,-38.3479,29.4436,47.4294,1545.45,143.915,94.3846,10753.5,1587.98,-71.3648,47.4542
2067,-2.24122,-0.666004,0.774875,-228.331,64.7622,-41.9497,-100.384,-38.3986,30.7787,47.6508,1545.5,147.681,92.441,10262.3,1587.98,-70.7925,47.4541
2068,-2.21537,-0.212304,0.777562,-229.024,60.7813,-45.3681,-101.684,-39.0813,28.806,47.7168,1545.65,153.847,91.1342,9854.04,1587.98,-70.4306,47.4541
2069,-2.1853,-0.665988,0.775562,-232.461,56.1099,-48.4076,-106.784,-40.304,27.595,44.7848,1545.63,150.37,90.5964,9776.32,1587.98,-70.7003,47.4543
2070,-2.20768,-0.528729,0.772647,-228.915,62.1989,-43.3027,-102.143,-37.6486,30.5124,46.9888,1545.57,149.373,91.1841,9938.55,1587.98,-70.6724,47.4542
2071,-2.24038,-0.665988,0.774335,-227.695,65.6631,-41.5366,-99.4109,-37.4418,31.4166,47.8753,1545.47,145.834,92.7403,10369.7,1587.98,-71.1412,47.4541
2072,-2.22142,-0.34069,0.777428,-228.539,62.4012,-43.4456,-101.224,-37.937,30.0201,48.0331,1545.55,148.386,91.7098,10083.9,1587.98,-70.6728,47.4542
2073,-2.1868,-0.656453,0.776085,-233.349,56.3901,-49.5334,-107.317,-39.9764,25.9353,45.3268,1545.55,145.873,91.7663,10090.0,1587.98,-71.1618,47.4544
2074,-2.20181,-0.585119,0.772839,-228.509,59.4035,-44.7938,-102.713,-38.9377,29.2456,46.4626,1545.61,149.855,90.1861,9728.92,1587.98,-70.6031,47.4542
2075,-2.23822,-0.438432,0.773831,-226.867,62.9417,-40.6043,-101.233,-37.714,30.4002,47.6168,1545.64,154.212,89.4064,9480.45,1587.98,-70.1485,47.454
2076,-2.22708,-0.533552,0.777181,-227.685,61.5887,-43.3843,-100.651,-39.396,30.7336,46.6211,1545.57,149.129,90.7787,9892.32,1587.98,-70.6038,47.4541
2077,-2.18956,-0.548374,0.77656,-231.533,55.5356,-49.2973,-104.884,-42.1242,27.4903,45.9375,1545.68,153.217,90.7021,9758.85,1587.98,-70.272,47.4543
2078,-2.19649,-0.66616,0.77314,-229.606,60.0158,-45.3316,-102.634,-39.2529,30.2241,46.3088,1545.6,149.833,91.4783,10012.9,1587.98,-70.5617,47.4542
2079,-2.23484,-0.281978,0.773388,-227.474,64.5104,-40.4301,-100.15,-38.7128,33.7958,46.1175,1545.54,148.736,91.3838,10039.7,1587.98,-70.681,47.454
